RNA_id	type
ENST00000333813	mRNA
ENST00000610984	mRNA
ENST00000361531	mRNA
hsa-miR-128-1-5p	miRNA
ENST00000338863	mRNA
ENST00000476977	mRNA
hsa-miR-887-3p	miRNA
ENST00000372181	mRNA
hsa_circ_0008068	circRNA
hsa-miR-2467-3p	miRNA
ENST00000289135	mRNA
hsa_circ_0000502	circRNA
hsa-miR-214-5p	miRNA
novel_circ_0008092	circRNA
ENST00000396504	mRNA
hsa_circ_0003271	circRNA
ENST00000344008	mRNA
ENST00000302641	mRNA
hsa-miR-548h-3p	miRNA
hsa_circ_0007930	circRNA
hsa_circ_0007482	circRNA
hsa_circ_0002599	circRNA
ENST00000312793	mRNA
hsa-miR-193b-3p	miRNA
ENST00000306585	mRNA
hsa_circ_0007332	circRNA
hsa_circ_0003658	circRNA
ENST00000454379	mRNA
novel_circ_0004248	circRNA
novel_circ_0007822	circRNA
ENST00000583617	mRNA
hsa_circ_0034293	circRNA
ENST00000393480	mRNA
novel_circ_0007827	circRNA
hsa-miR-29c-3p	miRNA
ENST00000602269	mRNA
novel_349	miRNA
novel_circ_0008169	circRNA
ENST00000502396	mRNA
hsa_circ_0003871	circRNA
hsa-miR-140-5p	miRNA
hsa_circ_0000657	circRNA
hsa_circ_0004359	circRNA
hsa_circ_0007807	circRNA
hsa_circ_0000650	circRNA
hsa-let-7d-5p	miRNA
hsa-miR-3614-3p	miRNA
novel_circ_0006935	circRNA
ENST00000643608	mRNA
ENST00000406453	mRNA
ENST00000638009	mRNA
novel_circ_0001446	circRNA
ENST00000389916	mRNA
hsa_circ_0000786	circRNA
hsa_circ_0001654	circRNA
ENST00000322810	mRNA
ENST00000495634	mRNA
hsa-miR-3187-5p	miRNA
ENST00000349157	mRNA
hsa_circ_0005887	circRNA
hsa-miR-1285-5p	miRNA
hsa-miR-19b-1-5p	miRNA
novel_circ_0004659	circRNA
hsa_circ_0059027	circRNA
ENST00000513154	mRNA
hsa_circ_0024840	circRNA
novel_circ_0009415	circRNA
ENST00000392225	mRNA
novel_circ_0009144	circRNA
ENST00000329468	mRNA
hsa_circ_0000099	circRNA
hsa_circ_0028410	circRNA
hsa-miR-204-5p	miRNA
hsa-miR-885-5p	miRNA
TCONS_00390704	mRNA
ENST00000421337	mRNA
hsa-miR-3085-3p	miRNA
hsa_circ_0004570	circRNA
ENST00000259608	mRNA
hsa-miR-651-5p	miRNA
hsa-miR-544b	miRNA
ENST00000636402	mRNA
hsa-miR-148b-5p	miRNA
hsa-miR-6732-5p	miRNA
hsa_circ_0004777	circRNA
ENST00000405018	mRNA
ENST00000322569	mRNA
hsa-miR-4786-5p	miRNA
ENST00000485908	mRNA
ENST00000563164	mRNA
hsa_circ_0001430	circRNA
ENST00000357271	mRNA
hsa-miR-3200-5p	miRNA
hsa-miR-2277-3p	miRNA
ENST00000468944	mRNA
ENST00000581868	mRNA
ENST00000376090	mRNA
hsa_circ_0023701	circRNA
hsa_circ_0000896	circRNA
hsa-miR-193a-3p	miRNA
ENST00000274867	mRNA
ENST00000618327	mRNA
hsa-miR-130b-5p	miRNA
ENST00000649752	mRNA
hsa_circ_0067049	circRNA
hsa-miR-5587-5p	miRNA
ENST00000409158	mRNA
hsa_circ_0005555	circRNA
ENST00000536364	mRNA
ENST00000308647	mRNA
ENST00000446273	mRNA
hsa_circ_0002510	circRNA
ENST00000539224	mRNA
ENST00000563094	mRNA
hsa-miR-1306-5p	miRNA
novel_circ_0003846	circRNA
ENST00000507311	mRNA
novel_circ_0006483	circRNA
hsa_circ_0000346	circRNA
ENST00000342160	mRNA
hsa-miR-6843-3p	miRNA
hsa_circ_0000347	circRNA
hsa_circ_0023879	circRNA
hsa_circ_0068174	circRNA
ENST00000375353	mRNA
hsa-miR-6891-5p	miRNA
hsa_circ_0084424	circRNA
ENST00000575195	mRNA
hsa-miR-6516-5p	miRNA
hsa_circ_0085440	circRNA
novel_circ_0003533	circRNA
ENST00000367242	mRNA
novel_circ_0006240	circRNA
ENST00000426655	mRNA
hsa-miR-18a-5p	miRNA
ENST00000538936	mRNA
ENST00000340587	mRNA
hsa_circ_0006219	circRNA
ENST00000264474	mRNA
ENST00000566441	mRNA
hsa-miR-6818-3p	miRNA
hsa-miR-16-5p	miRNA
ENST00000380524	mRNA
ENST00000526060	mRNA
ENST00000611074	mRNA
ENST00000265857	mRNA
hsa-miR-5006-3p	miRNA
ENST00000456748	mRNA
ENST00000252527	mRNA
hsa-miR-6743-3p	miRNA
ENST00000343762	mRNA
ENST00000489294	mRNA
ENST00000381920	mRNA
ENST00000578909	mRNA
hsa_circ_0074736	circRNA
ENST00000393160	mRNA
ENST00000307602	mRNA
hsa_circ_0012732	circRNA
ENST00000373027	mRNA
ENST00000361383	mRNA
ENST00000412568	mRNA
ENST00000651222	mRNA
ENST00000379868	mRNA
hsa_circ_0056121	circRNA
ENST00000379198	mRNA
ENST00000398686	mRNA
ENST00000367868	mRNA
ENST00000565263	mRNA
ENST00000494260	mRNA
novel_circ_0003193	circRNA
ENST00000327451	mRNA
ENST00000321300	mRNA
hsa-miR-2355-5p	miRNA
hsa_circ_0006456	circRNA
ENST00000297533	mRNA
ENST00000653680	mRNA
ENST00000326656	mRNA
TCONS_00419306	mRNA
ENST00000378486	mRNA
hsa_circ_0002134	circRNA
hsa_circ_0029926	circRNA
ENST00000461300	mRNA
hsa-miR-6733-5p	miRNA
ENST00000244769	mRNA
hsa-miR-5189-3p	miRNA
hsa_circ_0020822	circRNA
hsa_circ_0029633	circRNA
hsa-miR-195-5p	miRNA
ENST00000359827	mRNA
ENST00000451479	mRNA
ENST00000529964	mRNA
ENST00000351035	mRNA
hsa-miR-6769b-3p	miRNA
ENST00000438773	mRNA
ENST00000646608	mRNA
hsa_circ_0008501	circRNA
hsa-miR-186-5p	miRNA
ENST00000373209	mRNA
ENST00000326016	mRNA
ENST00000433408	mRNA
ENST00000484475	mRNA
hsa_circ_0007328	circRNA
ENST00000260403	mRNA
ENST00000330387	mRNA
novel_circ_0004277	circRNA
ENST00000510508	mRNA
ENST00000278426	mRNA
ENST00000404621	mRNA
novel_352	miRNA
novel_circ_0005456	circRNA
ENST00000377263	mRNA
ENST00000402034	mRNA
ENST00000215862	mRNA
ENST00000402746	mRNA
ENST00000392432	mRNA
ENST00000530234	mRNA
hsa_circ_0007813	circRNA
hsa_circ_0077096	circRNA
hsa_circ_0004365	circRNA
ENST00000398519	mRNA
ENST00000250699	mRNA
hsa-miR-4657	miRNA
ENST00000279263	mRNA
novel_circ_0008373	circRNA
ENST00000325102	mRNA
hsa_circ_0000798	circRNA
ENST00000337495	mRNA
ENST00000273814	mRNA
hsa-miR-548av-3p	miRNA
hsa-miR-766-3p	miRNA
ENST00000604841	mRNA
ENST00000382788	mRNA
novel_circ_0009174	circRNA
hsa_circ_0005161	circRNA
ENST00000368680	mRNA
ENST00000344616	mRNA
ENST00000417461	mRNA
hsa_circ_0001222	circRNA
hsa-miR-7-5p	miRNA
hsa_circ_0000087	circRNA
hsa_circ_0000085	circRNA
hsa-miR-4695-5p	miRNA
ENST00000226091	mRNA
hsa-miR-5571-3p	miRNA
novel_circ_0002826	circRNA
ENST00000616933	mRNA
ENST00000310926	mRNA
ENST00000615172	mRNA
hsa_circ_0081171	circRNA
ENST00000265136	mRNA
ENST00000585836	mRNA
hsa_circ_0001359	circRNA
hsa-miR-4433b-3p	miRNA
hsa_circ_0001355	circRNA
ENST00000544898	mRNA
ENST00000252998	mRNA
ENST00000292609	mRNA
ENST00000632728	mRNA
ENST00000299106	mRNA
ENST00000376959	mRNA
ENST00000418724	mRNA
ENST00000575779	mRNA
ENST00000535313	mRNA
hsa_circ_0088333	circRNA
ENST00000366714	mRNA
ENST00000341712	mRNA
ENST00000617716	mRNA
hsa_circ_0028198	circRNA
hsa_circ_0002238	circRNA
hsa-miR-1288-3p	miRNA
hsa_circ_0009109	circRNA
ENST00000375224	mRNA
ENST00000650642	mRNA
hsa-miR-3120-3p	miRNA
hsa_circ_0002520	circRNA
hsa_circ_0007092	circRNA
ENST00000353379	mRNA
novel_circ_0002729	circRNA
ENST00000264343	mRNA
ENST00000361847	mRNA
ENST00000562558	mRNA
ENST00000301043	mRNA
ENST00000592417	mRNA
hsa-miR-497-5p	miRNA
ENST00000486645	mRNA
ENST00000616661	mRNA
hsa_circ_0002301	circRNA
hsa-miR-330-3p	miRNA
hsa-miR-6502-5p	miRNA
ENST00000331563	mRNA
novel_circ_0001637	circRNA
ENST00000252444	mRNA
hsa-miR-6511a-3p	miRNA
ENST00000368703	mRNA
hsa_circ_0002782	circRNA
ENST00000368704	mRNA
hsa-miR-6795-5p	miRNA
hsa_circ_0064802	circRNA
hsa-miR-519d-5p	miRNA
ENST00000639411	mRNA
novel_circ_0002587	circRNA
ENST00000339708	mRNA
hsa_circ_0002015	circRNA
ENST00000381550	mRNA
ENST00000334661	mRNA
ENST00000391878	mRNA
hsa_circ_0079733	circRNA
ENST00000648095	mRNA
novel_circ_0005334	circRNA
hsa_circ_0068925	circRNA
hsa-miR-612	miRNA
hsa-miR-610	miRNA
hsa-miR-450b-5p	miRNA
ENST00000456909	mRNA
ENST00000399434	mRNA
hsa-miR-3605-5p	miRNA
ENST00000526832	mRNA
ENST00000618192	mRNA
hsa-miR-4522	miRNA
hsa-miR-4521	miRNA
hsa_circ_0002480	circRNA
hsa-miR-520g-3p	miRNA
ENST00000348261	mRNA
hsa-miR-4709-3p	miRNA
ENST00000447813	mRNA
ENST00000379852	mRNA
novel_circ_0003277	circRNA
hsa_circ_0047135	circRNA
hsa_circ_0011137	circRNA
hsa-let-7e-5p	miRNA
hsa_circ_0078198	circRNA
hsa-miR-4758-5p	miRNA
hsa-miR-3166	miRNA
ENST00000621734	mRNA
ENST00000360392	mRNA
ENST00000622445	mRNA
ENST00000393000	mRNA
ENST00000343629	mRNA
ENST00000572863	mRNA
ENST00000308527	mRNA
ENST00000438013	mRNA
hsa-miR-636	miRNA
ENST00000378322	mRNA
hsa_circ_0008301	circRNA
ENST00000290552	mRNA
hsa_circ_0007793	circRNA
TCONS_00310626	mRNA
hsa-miR-19b-3p	miRNA
hsa_circ_0007795	circRNA
ENST00000406856	mRNA
hsa-miR-3064-5p	miRNA
hsa_circ_0006841	circRNA
hsa-miR-4421	miRNA
hsa_circ_0074052	circRNA
ENST00000646838	mRNA
ENST00000580036	mRNA
hsa_circ_0006848	circRNA
ENST00000531066	mRNA
ENST00000644043	mRNA
hsa_circ_0006538	circRNA
hsa_circ_0007006	circRNA
hsa_circ_0007507	circRNA
hsa_circ_0004975	circRNA
hsa_circ_0011240	circRNA
hsa_circ_0004973	circRNA
ENST00000270112	mRNA
hsa-miR-4802-5p	miRNA
ENST00000313485	mRNA
ENST00000647238	mRNA
ENST00000637173	mRNA
ENST00000302118	mRNA
ENST00000258930	mRNA
hsa_circ_0006156	circRNA
hsa_circ_0045862	circRNA
hsa_circ_0045861	circRNA
ENST00000421043	mRNA
novel_circ_0000211	circRNA
hsa_circ_0000411	circRNA
ENST00000377670	mRNA
ENST00000398475	mRNA
hsa_circ_0003692	circRNA
hsa-miR-1228-3p	miRNA
hsa_circ_0003690	circRNA
novel_360	miRNA
hsa-miR-140-3p	miRNA
ENST00000397454	mRNA
ENST00000362091	mRNA
hsa_circ_0000639	circRNA
hsa_circ_0003853	circRNA
ENST00000354775	mRNA
ENST00000376782	mRNA
ENST00000378814	mRNA
hsa_circ_0004209	circRNA
hsa-miR-181a-2-3p	miRNA
ENST00000412391	mRNA
hsa_circ_0000255	circRNA
hsa_circ_0081902	circRNA
hsa_circ_0007178	circRNA
ENST00000620998	mRNA
ENST00000612905	mRNA
ENST00000445375	mRNA
ENST00000671676	mRNA
ENST00000651257	mRNA
ENST00000354618	mRNA
hsa_circ_0005152	circRNA
hsa-miR-148a-3p	miRNA
hsa_circ_0059007	circRNA
ENST00000263196	mRNA
ENST00000248054	mRNA
ENST00000533820	mRNA
ENST00000409582	mRNA
hsa_circ_0023232	circRNA
ENST00000553554	mRNA
hsa_circ_0054960	circRNA
hsa_circ_0054963	circRNA
ENST00000535094	mRNA
ENST00000581276	mRNA
ENST00000528838	mRNA
hsa-miR-574-5p	miRNA
ENST00000394965	mRNA
ENST00000520984	mRNA
hsa_circ_0016723	circRNA
hsa-miR-148b-3p	miRNA
ENST00000367218	mRNA
ENST00000314124	mRNA
hsa-miR-3140-3p	miRNA
hsa-miR-146a-5p	miRNA
hsa_circ_0004791	circRNA
hsa_circ_0004790	circRNA
hsa_circ_0004794	circRNA
hsa_circ_0066604	circRNA
hsa-miR-133a-3p	miRNA
hsa_circ_0008358	circRNA
ENST00000375780	mRNA
hsa_circ_0067774	circRNA
ENST00000342619	mRNA
ENST00000642825	mRNA
hsa-miR-1266-5p	miRNA
ENST00000409366	mRNA
ENST00000426306	mRNA
hsa-miR-28-5p	miRNA
hsa-miR-671-5p	miRNA
hsa-miR-1304-5p	miRNA
ENST00000394635	mRNA
hsa_circ_0005842	circRNA
ENST00000547306	mRNA
ENST00000398873	mRNA
hsa-miR-4734	miRNA
hsa-miR-2116-3p	miRNA
hsa-miR-4728-5p	miRNA
hsa-miR-1301-3p	miRNA
ENST00000652110	mRNA
ENST00000523986	mRNA
hsa-miR-21-3p	miRNA
novel_circ_0007353	circRNA
hsa-miR-6825-5p	miRNA
hsa_circ_0009024	circRNA
TCONS_00182027	mRNA
hsa_circ_0002314	circRNA
ENST00000265678	mRNA
novel_circ_0001646	circRNA
ENST00000542485	mRNA
hsa_circ_0002220	circRNA
hsa_circ_0002223	circRNA
hsa_circ_0055055	circRNA
ENST00000372425	mRNA
ENST00000399213	mRNA
ENST00000564494	mRNA
ENST00000300184	mRNA
ENST00000641098	mRNA
hsa-miR-424-5p	miRNA
hsa-miR-548w	miRNA
ENST00000470969	mRNA
hsa-miR-548q	miRNA
hsa_circ_0008382	circRNA
ENST00000378733	mRNA
ENST00000328945	mRNA
novel_circ_0000771	circRNA
novel_circ_0001792	circRNA
hsa_circ_0001693	circRNA
hsa_circ_0023231	circRNA
novel_circ_0003468	circRNA
novel_circ_0002111	circRNA
hsa_circ_0057523	circRNA
hsa-miR-493-5p	miRNA
ENST00000542570	mRNA
ENST00000412615	mRNA
ENST00000381944	mRNA
ENST00000304992	mRNA
hsa_circ_0040809	circRNA
hsa-miR-4511	miRNA
hsa-miR-550a-5p	miRNA
hsa_circ_0015928	circRNA
ENST00000334456	mRNA
hsa-miR-4677-5p	miRNA
ENST00000598836	mRNA
novel_circ_0003244	circRNA
ENST00000320631	mRNA
ENST00000461263	mRNA
ENST00000432084	mRNA
ENST00000432085	mRNA
hsa-miR-3179	miRNA
ENST00000360403	mRNA
ENST00000271526	mRNA
ENST00000581675	mRNA
ENST00000335475	mRNA
hsa-miR-451a	miRNA
hsa-miR-3174	miRNA
hsa-miR-3176	miRNA
ENST00000379442	mRNA
novel_circ_0003642	circRNA
hsa-miR-4646-3p	miRNA
ENST00000343638	mRNA
ENST00000280606	mRNA
hsa_circ_0006308	circRNA
hsa-miR-1260a	miRNA
hsa_circ_0006305	circRNA
hsa-miR-6735-3p	miRNA
hsa-miR-106a-5p	miRNA
ENST00000452560	mRNA
ENST00000407192	mRNA
hsa_circ_0069396	circRNA
ENST00000621053	mRNA
ENST00000373173	mRNA
hsa_circ_0056856	circRNA
novel_circ_0008572	circRNA
ENST00000359227	mRNA
hsa-miR-10394-5p	miRNA
ENST00000267202	mRNA
hsa_circ_0003717	circRNA
hsa-miR-5189-5p	miRNA
ENST00000592554	mRNA
hsa_circ_0078768	circRNA
hsa_circ_0003441	circRNA
hsa_circ_0006834	circRNA
ENST00000430490	mRNA
hsa-miR-30c-1-3p	miRNA
ENST00000652669	mRNA
ENST00000378557	mRNA
ENST00000351698	mRNA
hsa_circ_0003040	circRNA
ENST00000543227	mRNA
ENST00000351273	mRNA
ENST00000377792	mRNA
hsa_circ_0004949	circRNA
ENST00000376302	mRNA
hsa_circ_0012837	circRNA
ENST00000372310	mRNA
hsa-miR-532-3p	miRNA
ENST00000589297	mRNA
hsa-miR-505-5p	miRNA
ENST00000519604	mRNA
ENST00000441626	mRNA
hsa_circ_0033144	circRNA
ENST00000419727	mRNA
hsa-miR-23b-5p	miRNA
hsa-miR-4777-3p	miRNA
ENST00000389328	mRNA
novel_circ_0000201	circRNA
novel_circ_0000200	circRNA
ENST00000449985	mRNA
novel_circ_0000206	circRNA
ENST00000356311	mRNA
hsa-miR-18a-3p	miRNA
ENST00000530439	mRNA
ENST00000424263	mRNA
ENST00000362089	mRNA
ENST00000572250	mRNA
hsa_circ_0074883	circRNA
ENST00000572705	mRNA
ENST00000215061	mRNA
ENST00000535157	mRNA
hsa_circ_0003530	circRNA
ENST00000616132	mRNA
ENST00000521914	mRNA
ENST00000376423	mRNA
hsa-miR-4524b-3p	miRNA
hsa_circ_0004894	circRNA
ENST00000263212	mRNA
hsa_circ_0000247	circRNA
hsa_circ_0000246	circRNA
hsa_circ_0007948	circRNA
ENST00000338779	mRNA
hsa-miR-127-5p	miRNA
ENST00000329321	mRNA
ENST00000294244	mRNA
hsa-miR-30e-3p	miRNA
TCONS_00372051	mRNA
ENST00000594009	mRNA
hsa-miR-766-5p	miRNA
hsa_circ_0004419	circRNA
ENST00000428314	mRNA
hsa_circ_0001116	circRNA
hsa-miR-3664-5p	miRNA
hsa_circ_0004417	circRNA
ENST00000372133	mRNA
hsa_circ_0004305	circRNA
hsa-let-7b-3p	miRNA
hsa_circ_0001467	circRNA
ENST00000333039	mRNA
ENST00000237937	mRNA
ENST00000394762	mRNA
ENST00000381962	mRNA
ENST00000623998	mRNA
ENST00000370211	mRNA
hsa-miR-5010-5p	miRNA
ENST00000262494	mRNA
ENST00000262320	mRNA
hsa_circ_0004524	circRNA
hsa_circ_0004520	circRNA
ENST00000309951	mRNA
hsa_circ_0001573	circRNA
ENST00000228027	mRNA
hsa_circ_0001577	circRNA
ENST00000309958	mRNA
ENST00000355994	mRNA
ENST00000563953	mRNA
ENST00000395157	mRNA
hsa-miR-499b-3p	miRNA
ENST00000375793	mRNA
ENST00000368820	mRNA
hsa_circ_0001812	circRNA
ENST00000372047	mRNA
ENST00000417024	mRNA
hsa_circ_0008362	circRNA
hsa_circ_0030632	circRNA
TCONS_00253844	mRNA
ENST00000417808	mRNA
ENST00000355683	mRNA
ENST00000359415	mRNA
novel_circ_0001344	circRNA
ENST00000398905	mRNA
ENST00000376753	mRNA
ENST00000638419	mRNA
hsa_circ_0017728	circRNA
hsa-miR-7702	miRNA
ENST00000331163	mRNA
ENST00000395148	mRNA
ENST00000354957	mRNA
ENST00000503000	mRNA
hsa_circ_0002494	circRNA
ENST00000506529	mRNA
hsa-miR-20a-3p	miRNA
ENST00000398802	mRNA
ENST00000372592	mRNA
ENST00000542167	mRNA
hsa-miR-5010-3p	miRNA
hsa_circ_0039363	circRNA
ENST00000373573	mRNA
hsa-miR-660-3p	miRNA
ENST00000518175	mRNA
hsa_circ_0005935	circRNA
ENST00000333213	mRNA
ENST00000587583	mRNA
hsa_circ_0028021	circRNA
ENST00000305747	mRNA
hsa_circ_0005459	circRNA
ENST00000637769	mRNA
ENST00000310585	mRNA
ENST00000515124	mRNA
hsa-miR-6884-5p	miRNA
ENST00000593360	mRNA
ENST00000360482	mRNA
ENST00000620771	mRNA
hsa-miR-6885-3p	miRNA
hsa-miR-615-5p	miRNA
ENST00000262817	mRNA
ENST00000265663	mRNA
hsa_circ_0025967	circRNA
novel_circ_0004538	circRNA
hsa_circ_0064339	circRNA
ENST00000264645	mRNA
novel_circ_0002057	circRNA
novel_circ_0002052	circRNA
ENST00000380959	mRNA
hsa-miR-222-5p	miRNA
ENST00000415040	mRNA
ENST00000380950	mRNA
hsa-miR-223-3p	miRNA
ENST00000355022	mRNA
ENST00000301332	mRNA
novel_circ_0008791	circRNA
ENST00000367103	mRNA
hsa_circ_0069725	circRNA
hsa-miR-6751-3p	miRNA
ENST00000542587	mRNA
ENST00000432560	mRNA
ENST00000370562	mRNA
hsa_circ_0000478	circRNA
ENST00000445755	mRNA
ENST00000343736	mRNA
ENST00000555242	mRNA
hsa-miR-4474-3p	miRNA
hsa_circ_0001808	circRNA
ENST00000414706	mRNA
ENST00000349847	mRNA
ENST00000523084	mRNA
ENST00000297477	mRNA
hsa-miR-6511b-3p	miRNA
hsa-miR-149-3p	miRNA
ENST00000389142	mRNA
hsa-miR-3183	miRNA
ENST00000415385	mRNA
ENST00000443824	mRNA
ENST00000398073	mRNA
ENST00000404158	mRNA
ENST00000340413	mRNA
ENST00000562955	mRNA
ENST00000368457	mRNA
hsa-miR-324-5p	miRNA
hsa_circ_0064139	circRNA
ENST00000393605	mRNA
ENST00000382051	mRNA
novel_circ_0001834	circRNA
ENST00000549135	mRNA
ENST00000588599	mRNA
hsa-miR-2681-5p	miRNA
hsa_circ_0011644	circRNA
ENST00000344387	mRNA
hsa_circ_0088425	circRNA
hsa_circ_0003184	circRNA
hsa_circ_0006484	circRNA
ENST00000257261	mRNA
hsa_circ_0006796	circRNA
ENST00000378785	mRNA
ENST00000313375	mRNA
ENST00000254521	mRNA
hsa-miR-199b-5p	miRNA
ENST00000357540	mRNA
novel_circ_0007534	circRNA
ENST00000569430	mRNA
ENST00000307677	mRNA
hsa_circ_0008625	circRNA
ENST00000275569	mRNA
ENST00000291281	mRNA
hsa_circ_0007683	circRNA
hsa_circ_0004956	circRNA
ENST00000494165	mRNA
hsa_circ_0008629	circRNA
hsa_circ_0086422	circRNA
hsa-miR-365a-5p	miRNA
hsa-miR-3199	miRNA
ENST00000506209	mRNA
ENST00000407236	mRNA
ENST00000448469	mRNA
novel_circ_0008699	circRNA
ENST00000222374	mRNA
novel_circ_0004207	circRNA
ENST00000338343	mRNA
hsa-miR-3194-3p	miRNA
ENST00000312734	mRNA
hsa_circ_0008194	circRNA
ENST00000395701	mRNA
hsa_circ_0008193	circRNA
ENST00000354792	mRNA
TCONS_00135743	mRNA
hsa_circ_0092237	circRNA
hsa_circ_0020304	circRNA
ENST00000644974	mRNA
hsa_circ_0007209	circRNA
hsa_circ_0001932	circRNA
hsa-miR-6881-3p	miRNA
ENST00000340381	mRNA
novel_circ_0004332	circRNA
ENST00000452918	mRNA
novel_circ_0007402	circRNA
ENST00000477660	mRNA
hsa_circ_0007990	circRNA
ENST00000336604	mRNA
ENST00000416810	mRNA
ENST00000413009	mRNA
ENST00000337738	mRNA
hsa-miR-1229-3p	miRNA
ENST00000539243	mRNA
hsa-miR-6515-5p	miRNA
ENST00000303227	mRNA
ENST00000329665	mRNA
hsa_circ_0004407	circRNA
hsa_circ_0000344	circRNA
hsa_circ_0081819	circRNA
hsa_circ_0004314	circRNA
hsa_circ_0001742	circRNA
ENST00000359209	mRNA
hsa-miR-93-3p	miRNA
hsa_circ_0007443	circRNA
ENST00000510267	mRNA
ENST00000395497	mRNA
hsa_circ_0004089	circRNA
ENST00000262316	mRNA
ENST00000262319	mRNA
ENST00000252032	mRNA
hsa_circ_0089392	circRNA
hsa_circ_0066714	circRNA
hsa_circ_0005044	circRNA
ENST00000337352	mRNA
ENST00000304330	mRNA
ENST00000262794	mRNA
novel_circ_0009106	circRNA
ENST00000567114	mRNA
hsa-miR-3944-5p	miRNA
ENST00000400790	mRNA
hsa_circ_0005912	circRNA
hsa_circ_0000375	circRNA
ENST00000420515	mRNA
ENST00000400405	mRNA
hsa_circ_0004623	circRNA
hsa_circ_0055239	circRNA
ENST00000262953	mRNA
novel_circ_0005129	circRNA
hsa_circ_0002487	circRNA
hsa_circ_0040414	circRNA
novel_circ_0006116	circRNA
ENST00000311044	mRNA
hsa_circ_0005265	circRNA
ENST00000579016	mRNA
ENST00000556752	mRNA
hsa_circ_0001367	circRNA
hsa_circ_0005689	circRNA
hsa_circ_0001362	circRNA
ENST00000599564	mRNA
novel_circ_0001246	circRNA
hsa_circ_0001368	circRNA
hsa_circ_0005868	circRNA
ENST00000535453	mRNA
hsa_circ_0002805	circRNA
ENST00000535987	mRNA
ENST00000366401	mRNA
ENST00000265097	mRNA
novel_circ_0006204	circRNA
novel_circ_0006203	circRNA
hsa_circ_0039398	circRNA
novel_circ_0002260	circRNA
hsa-miR-145-5p	miRNA
hsa-miR-449c-5p	miRNA
hsa-miR-1295b-3p	miRNA
hsa_circ_0005465	circRNA
hsa_circ_0002661	circRNA
hsa_circ_0002660	circRNA
hsa_circ_0002663	circRNA
ENST00000372447	mRNA
